Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
8522,30,3.0,93.186137710447,38.09235425351963,1.0,2,2.0,2018,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2197,29,2.0,37.89374894795826,22.47164369301224,6.0,4,9.0,1969,0.069660344,B,B,31,6119,4,,1,2,B
8485,7,2.0,73.69809118558946,44.317004103387184,11.0,8,17.0,2006,0.130617806,B,B,39,10418,9,900.0,1,9,B
1164,74,2.0,55.89639366385681,31.72648597209092,9.0,9,17.0,2006,0.371148999,B,B,34,7065,1,750.0,2,5,B
16173,9,1.0,37.261263645594,21.643316596407715,9.0,2,22.0,1990,0.136244425,B,B,11,2370,0,,0,1,B
10381,11,3.0,55.425564353021386,42.80923007398204,5.0,8,9.0,1972,0.0001696759999999,B,B,36,5992,0,,1,1,B
12540,12,1.0,39.3658109415841,20.87811208197025,8.0,7,17.0,1987,0.090799103,B,B,74,19083,2,,5,15,B
15593,106,3.0,78.53568602749844,44.51038676475036,12.0,5,14.0,2001,0.313924552,B,B,22,4625,11,3855.0,2,10,B
7920,183,3.0,102.96446813696838,48.32210715415842,14.0,4,6.0,1916,0.037316452,B,B,32,6748,93,562.0,4,10,B
14865,9,10.0,60.87126567734032,38.42068102118979,10.0,3,2.0,1994,0.161531741,B,B,25,5648,1,30.0,2,4,B
16041,21,2.0,46.49169186773221,29.9650501504624,5.0,3,5.0,1968,0.194489265,B,B,47,8004,3,125.0,3,5,B
7469,93,2.0,45.28387369505543,30.03474550210679,6.0,9,12.0,1974,0.521867054,B,B,25,6149,0,,0,0,B
10026,74,2.0,57.70298687532348,32.331407293522986,9.0,9,16.0,1986,0.371148999,B,B,34,7065,1,750.0,2,5,B
9123,9,2.0,57.57268177585426,34.51166464300901,9.0,17,17.0,1993,0.069753361,B,B,53,13670,4,,1,11,B
16581,84,3.0,66.48729834316508,46.3258045505582,9.0,13,12.0,1971,0.149666373,B,B,22,4789,2,4087.0,4,1,B
15939,114,1.0,33.9896519333877,20.962954995738524,4.0,5,12.0,1966,0.327018035,B,B,12,2270,23,2500.0,1,0,B
2206,62,2.0,79.54964163585174,,1.0,13,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
7502,23,2.0,56.01716945210468,33.084030855256145,9.0,10,17.0,2011,0.075778755,B,B,6,1437,3,,0,2,B
2697,25,2.0,64.68363709588765,60.498728254799936,10.0,3,17.0,1977,0.069753361,B,B,53,13670,4,,1,11,B
15494,63,1.0,51.94763755707947,50.902853412780246,10.0,10,25.0,2018,0.23861713,B,B,26,3889,6,705.0,3,6,B
12458,126,1.0,31.197105524592377,21.54683831845048,5.0,2,5.0,1965,0.333891544,B,B,30,6564,1,,0,0,B
12180,81,2.0,39.53517703452707,23.66534999988704,7.0,9,12.0,1968,0.006076152,B,B,30,5285,0,645.0,6,6,B
8051,6,2.0,65.77913698482283,64.79724004532734,1.0,16,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
13004,25,1.0,43.32220144281334,41.51531555708381,10.0,19,25.0,2012,0.069753361,B,B,53,13670,4,,1,11,B
9425,61,1.0,38.79699409687304,25.28815909241608,6.0,8,9.0,1980,0.300322518,B,B,52,10311,6,,1,9,B
10632,12,2.0,62.56963205029325,34.24939064813026,10.0,11,17.0,1996,0.090799103,B,B,74,19083,2,,5,15,B
8970,38,3.0,99.46701190488407,54.32180109809517,1.0,13,20.0,2017,0.060753049,B,B,15,2787,2,520.0,0,7,B
2723,188,1.0,36.05230693998549,22.858800623016737,6.0,6,9.0,1973,0.0,B,B,7,1660,39,1786.0,1,5,B
8656,8,2.0,47.69968731361677,31.891402012699043,5.0,8,9.0,1969,0.458174486,B,A,26,4439,1,1130.0,1,5,B
5005,27,1.0,38.75523552493164,20.04360860268966,10.0,16,17.0,2012,0.011654127,B,B,4,915,0,,0,0,B
4420,62,1.0,35.66514829637339,21.079453401614067,6.0,4,9.0,1977,0.037177818,B,B,52,11217,1,2300.0,1,7,B
3203,23,2.0,56.21870163187176,,1.0,3,3.0,1977,0.005767451,B,B,1,388,0,,0,0,B
14299,27,2.0,61.92195209316547,57.746446564520255,11.0,13,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B
14116,27,2.0,62.50998306446762,64.10274332560806,10.0,12,12.0,2018,0.072157581,B,B,2,629,1,,0,0,A
11234,38,3.0,93.03845397224111,94.43731762384908,1.0,17,21.0,2018,0.060753049,B,B,15,2787,2,520.0,0,7,B
8553,88,3.0,83.26252987516949,4.7691744289810005,1.0,13,1.0,1977,0.127375905,B,B,43,8429,3,,3,9,B
8722,6,2.0,71.15289896231499,37.87354282551621,11.0,16,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
12095,27,2.0,63.774288376587016,,0.0,11,17.0,1977,0.011654127,B,B,4,915,0,,0,0,B
558,1,2.0,52.56649636043105,,1.0,17,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1934,44,3.0,86.67212829843443,,1.0,18,17.0,2018,0.036122292,B,B,24,4378,0,1036.0,1,1,B
10018,1,2.0,67.82586221263361,66.36819970245092,10.0,3,17.0,2015,0.007122317,B,B,1,264,0,,0,1,B
11951,6,2.0,66.20665874248517,,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
6796,52,2.0,52.413129138098405,54.53750078364072,1.0,13,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
10306,27,3.0,80.77323738378792,42.59265634863394,11.0,3,2.0,2017,0.017647053,B,B,2,469,0,,0,0,B
1242,27,2.0,55.29899948321957,,1.0,14,17.0,1977,0.011654127,B,B,4,915,0,,0,0,B
11949,193,1.0,35.7842708251727,20.65681440825016,5.0,1,5.0,1969,0.319809354,B,B,25,4756,16,2857.0,5,8,B
1678,111,2.0,56.82582701964196,31.20298783193521,11.0,8,16.0,1981,0.135649789,B,B,46,7960,6,350.0,3,11,B
5711,27,3.0,57.89630229220962,42.75666195540239,5.0,4,3.0,1963,0.011654127,B,B,4,915,0,,0,0,B
16700,27,1.0,40.73861306048386,40.1544392498508,1.0,9,17.0,2016,0.011654127,B,B,4,915,0,,0,0,B
16188,59,2.0,61.50213443093715,33.12142623794768,10.0,5,17.0,1985,0.019508796,B,B,37,7687,11,176.0,5,5,B
15241,1,1.0,42.25290697682539,38.33288348695169,1.0,6,9.0,2018,0.007122317,B,B,1,264,0,,0,1,B
7342,62,1.0,49.03607759793781,,1.0,1,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
12336,11,2.0,56.46088169288575,28.74914921497784,11.0,5,16.0,1994,0.0001696759999999,B,B,36,5992,0,,1,1,B
10370,29,2.0,44.26516184599758,30.383861540139783,5.0,7,5.0,1962,0.069660344,B,B,31,6119,4,,1,2,B
14292,103,1.0,41.53813827372754,23.292934580888872,8.0,7,16.0,1981,0.014423114,B,B,19,3806,4,,0,3,B
3758,23,3.0,79.50357010215906,44.87320780780384,12.0,9,17.0,2011,0.075778755,B,B,6,1437,3,,0,2,B
2899,9,2.0,55.70704275730338,30.09428879912779,8.0,5,14.0,1995,0.161531741,B,B,25,5648,1,30.0,2,4,B
10310,126,2.0,44.8949778534373,30.59994441498811,5.0,5,5.0,1967,0.333891544,B,B,30,6564,1,,0,0,B
8706,170,1.0,40.37200643665023,18.13144607283371,8.0,3,5.0,1954,0.21843974,B,B,21,4472,6,1450.0,4,7,A
15109,45,3.0,97.87031476831024,95.69327993378472,1.0,15,17.0,2016,0.195781053,B,B,23,5212,6,,3,2,B
8562,27,2.0,55.43124154455585,55.89824122423782,1.0,5,17.0,2017,0.072157581,B,B,2,629,1,,0,0,A
7093,88,2.0,72.77506670290433,,1.0,12,17.0,1977,0.127375905,B,B,43,8429,3,,3,9,B
8823,7,2.0,59.46691916844984,33.74658904473486,9.0,18,16.0,2016,0.130617806,B,B,39,10418,9,900.0,1,9,B
13158,104,2.0,81.63481798883527,45.236327955766846,9.0,6,9.0,1955,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
11481,37,2.0,48.81954482826278,26.96476684799698,6.0,3,9.0,1975,0.127811589,B,B,28,7287,5,320.0,1,3,B
7492,37,2.0,58.40527503100289,29.41128020437941,7.0,12,12.0,1980,0.122190486,B,B,25,4724,2,1308.0,1,3,B
1713,80,2.0,47.5480258442433,31.329267301592026,6.0,5,12.0,1979,0.0077202819999999,B,B,38,4788,2,,0,4,B
10085,88,2.0,48.3909159443801,34.498513730643054,6.0,12,12.0,1975,0.127375905,B,B,43,8429,3,,3,9,B
13960,12,1.0,43.23964947101206,25.800611748603146,8.0,12,12.0,1995,0.090799103,B,B,74,19083,2,,5,15,B
2772,85,2.0,56.2652590851736,34.173760153200696,9.0,10,16.0,1979,0.037177818,B,B,52,11217,1,2300.0,1,7,B
6731,120,2.0,85.0876429469312,77.97632451272267,10.0,7,10.0,2020,0.341071945,B,B,27,5664,48,2300.0,3,11,B
13512,39,1.0,34.37500663397916,20.874454324871174,9.0,4,12.0,1971,0.428825818,B,B,25,5011,8,730.0,0,2,B
16145,1,2.0,63.84000004376331,36.416529856627726,13.0,11,12.0,2007,0.036270089,B,B,6,1318,1,200.0,1,1,B
6375,8,2.0,79.57466452385141,40.01931825088767,12.0,4,14.0,2002,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4925,23,1.0,38.10104068167795,,1.0,11,17.0,1977,0.034656082,B,B,0,168,0,,0,0,B
9740,41,1.0,35.30190680518364,19.860207181454538,6.0,8,9.0,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B
1099,27,3.0,55.51602821731666,,0.0,6,25.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4056,6,2.0,54.8435468727556,34.17922826322989,9.0,12,17.0,2010,0.243204519,B,B,5,1564,0,540.0,0,0,B
7444,27,4.0,100.41874269047128,,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
12782,44,1.0,35.091916580997506,19.15780816193707,8.0,1,4.0,1961,0.122190486,B,B,25,4724,2,1308.0,1,3,B
15432,74,2.0,44.85861310964568,30.06753092860344,6.0,4,9.0,1974,0.371148999,B,B,34,7065,1,750.0,2,5,B
16253,23,1.0,45.03138929852116,,1.0,9,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
544,21,2.0,45.04168715560878,29.429017337148093,5.0,5,9.0,1976,0.194489265,B,B,47,8004,3,125.0,3,5,B
890,6,1.0,39.4013357083338,41.97315879905358,10.0,4,17.0,2017,0.243204519,B,B,5,1564,0,540.0,0,0,B
8964,58,2.0,55.69117730915346,,0.0,9,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
6878,127,1.0,30.120510546356613,20.93836276802968,5.0,4,5.0,1958,0.486245621,B,B,13,2514,19,,0,6,B
12257,75,2.0,55.358518808595626,31.954391455423146,8.0,8,14.0,1991,0.122090347,B,B,29,6566,7,1894.0,4,0,B
9968,18,3.0,77.67481233501586,74.78386784290984,10.0,4,17.0,1998,0.0,B,B,30,5562,0,,0,5,A
8766,8,3.0,68.51354878056793,47.981559079850655,6.0,2,12.0,1979,0.43788524,B,B,23,5735,3,1084.0,0,5,B
16044,58,1.0,44.10149452265194,,1.0,13,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
5685,45,3.0,77.9515685621793,76.4500023557942,10.0,26,24.0,2017,0.195781053,B,B,23,5212,6,,3,2,B
8687,48,1.0,42.84091459300577,2.608668989187916,1.0,19,17.0,1977,0.041124634,B,B,46,9515,5,,1,10,B
6824,73,2.0,47.00777281976917,31.771289333804148,6.0,7,9.0,1972,0.042031587,B,B,37,6856,84,1940.0,2,5,B
12657,17,1.0,32.840310995365016,17.383530120131187,6.0,5,10.0,1969,0.0,B,B,18,3374,5,620.0,1,2,B
8727,1,2.0,79.52122105330591,4.634048620392715,1.0,5,1.0,2017,0.007122317,B,B,1,264,0,,0,1,B
8300,57,1.0,45.11245484054864,,1.0,19,22.0,2015,0.407276235,A,B,9,1768,0,370.0,0,0,A
2885,23,3.0,77.05875018647251,78.46692026287381,1.0,5,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
5518,6,2.0,66.06852019951894,,1.0,6,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1460,166,2.0,67.91201022754062,23.69624801901393,7.0,2,8.0,1962,0.174739084,B,B,17,3379,9,100.0,0,3,B
325,101,1.0,32.937433504549944,17.353632556312046,5.0,7,5.0,1971,0.225824954,A,B,41,6558,7,1548.0,3,2,B
5670,44,1.0,36.379738795424906,20.80609911925256,6.0,5,12.0,1978,0.232205084,B,B,24,4860,1,80.0,0,3,B
12801,135,3.0,96.04848255605506,58.186582719298045,17.0,4,10.0,1959,0.007658515,B,B,35,7077,56,2301.0,3,19,B
6892,144,2.0,57.52189594833132,34.43792551471483,9.0,2,5.0,1964,0.306977489,B,B,27,5148,14,1575.0,5,7,B
1075,59,1.0,38.72607306537846,23.2031390064024,9.0,12,12.0,1972,0.309479124,B,B,35,7715,4,990.0,0,6,B
13441,48,3.0,66.30821658554166,39.571289775421135,8.0,7,12.0,1982,0.041124634,B,B,46,9515,5,,1,10,B
2686,23,3.0,102.4452310888044,104.35933064062807,1.0,4,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
8233,21,2.0,44.482914231933066,29.72137021397805,6.0,6,9.0,1969,0.194489265,B,B,47,8004,3,125.0,3,5,B
7997,23,2.0,56.43893770719652,,1.0,3,17.0,1977,0.005767451,B,B,1,388,0,,0,0,B
1375,6,1.0,42.71734942353417,41.2370230827419,8.0,13,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
4997,9,1.0,40.80660349981816,36.84791117973372,7.0,13,14.0,1995,0.161531741,B,B,25,5648,1,30.0,2,4,B
11126,27,3.0,47.93881882488553,,0.0,5,25.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2447,58,3.0,80.8536534579811,50.234659948592046,8.0,6,14.0,1972,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
11352,44,2.0,44.40364726815119,29.919341845425148,5.0,3,9.0,1971,0.122190486,B,B,25,4724,2,1308.0,1,3,B
9735,1,3.0,85.73091685442647,,1.0,22,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B
14216,41,1.0,39.53465131792856,22.224450747727165,6.0,7,9.0,1981,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
16102,17,1.0,38.59578191593378,19.418503519165064,10.0,14,12.0,1966,0.0,B,B,18,3374,5,620.0,1,2,B
2481,1,1.0,40.01980966511245,,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
9690,27,1.0,40.08104191976457,37.834963876267466,37.0,18,19.0,2019,0.211401214,B,B,9,1892,0,,0,1,B
9350,27,2.0,62.687772453016535,,0.0,3,12.0,1977,0.011654127,B,B,4,915,0,,0,0,B
8184,99,2.0,44.56518865981512,31.134362138216204,5.0,5,9.0,1970,0.033493708,B,B,66,10573,1,1322.0,3,8,B
13087,20,1.0,43.42726051988634,21.911174134153587,12.0,6,17.0,1999,0.019508796,B,B,37,7687,11,176.0,5,5,B
11196,6,1.0,46.16057600994112,,0.0,14,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
9444,6,1.0,49.708471928507,,1.0,7,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
12676,81,3.0,13.784864762254823,15.988889331370414,7.0,4,5.0,1960,0.319809354,B,B,25,4756,16,2857.0,5,8,B
16749,44,3.0,75.07983026555792,44.65283732765974,10.0,4,16.0,1985,0.122190486,B,B,25,4724,2,1308.0,1,3,B
10956,53,1.0,40.02811204385961,23.005795897115497,10.0,10,18.0,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
12568,44,3.0,59.89087113358174,47.74558424871404,6.0,4,9.0,1973,0.036122292,B,B,24,4378,0,1036.0,1,1,B
11008,0,1.0,46.934107866892994,18.866829377660306,10.0,16,17.0,2010,0.006076152,B,B,30,5285,0,645.0,6,6,B
6128,92,2.0,56.08460095096639,34.38052385681375,8.0,6,14.0,1999,0.460556389,B,B,20,4386,14,,1,5,B
9097,27,2.0,64.82265363139311,36.48453475718377,0.0,3,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
13070,99,2.0,50.76276861240162,28.10998658745904,6.0,10,9.0,1977,0.012338886,B,B,35,5776,1,2078.0,2,4,B
14998,25,3.0,66.20978628063007,42.34239223168182,8.0,5,9.0,1976,0.188783766,B,B,31,6137,4,,0,1,B
14705,59,1.0,48.67512573075058,48.34986095549516,1.0,19,19.0,2018,0.019508796,B,B,37,7687,11,176.0,5,5,B
14627,93,2.0,45.07345830779868,27.988971133499422,6.0,1,9.0,1980,0.050900058,B,B,43,10621,1,30.0,2,3,B
793,66,1.0,33.89055193237391,20.57852052435534,5.0,3,5.0,1965,0.161975568,B,A,31,7010,5,4508.0,3,7,B
8235,67,1.0,42.84926668423357,22.64134711765121,7.0,16,16.0,1983,0.100455735,B,B,43,7227,0,,1,6,A
8724,77,2.0,46.60202425506461,33.59971701729175,6.0,4,12.0,1977,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
14229,1,2.0,53.649232376741686,,1.0,7,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
12399,9,2.0,54.56583491493504,29.12741019853277,11.0,2,16.0,1975,0.13012277,B,B,8,1986,0,,0,0,B
13998,12,1.0,34.72744396438949,18.817811041561125,5.0,2,9.0,1983,0.090799103,B,B,74,19083,2,,5,15,B
7835,37,3.0,58.93064158402506,47.92172933718565,6.0,8,9.0,1981,0.127811589,B,B,28,7287,5,320.0,1,3,B
1684,53,2.0,40.0035576771466,19.7342935010727,7.0,2,17.0,2005,0.313924552,B,B,22,4625,11,3855.0,2,10,B
9741,8,1.0,32.330333302772885,21.141703519115573,6.0,8,9.0,1980,0.219006007,B,B,28,6746,3,,1,4,B
6818,2,1.0,38.14249875396275,16.18903707956192,7.0,17,16.0,2008,0.035145267,B,B,42,9292,3,2620.0,0,3,B
13897,6,1.0,46.64518875001588,,0.0,9,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
14027,22,3.0,83.83706577687661,,1.0,25,25.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
9580,46,2.0,46.838421808732186,29.974057069706006,5.0,5,5.0,1964,0.188783766,B,B,31,6137,4,,0,1,B
8443,57,2.0,45.96488978915266,29.141211816173783,5.0,7,5.0,1963,0.133215333,B,B,49,11395,3,1406.0,3,4,A
715,44,1.0,32.777610479996945,22.44844963058196,5.0,8,9.0,1967,0.036122292,B,B,24,4378,0,1036.0,1,1,B
407,8,2.0,44.140155766810906,26.720020238230383,6.0,4,14.0,1975,0.219006007,B,B,28,6746,3,,1,4,B
5734,23,3.0,102.03280055818512,,1.0,15,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
13523,23,1.0,52.787089900600655,5.600608642884137,1.0,7,1.0,2015,0.014072961,B,B,2,475,0,,0,0,B
9262,46,2.0,51.56727598305275,32.11835358908461,7.0,11,12.0,1983,0.0,B,B,47,11319,0,1145.0,3,5,B
5329,79,2.0,42.02896439613346,27.73291904931292,5.0,4,5.0,1964,0.307466659,B,A,30,5048,9,325.0,2,5,B
6301,6,1.0,41.21597786048539,,0.0,8,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4055,2,2.0,64.24786853112967,40.97442243344732,9.0,14,16.0,1972,0.309479124,B,B,35,7715,4,990.0,0,6,B
5633,27,3.0,87.63999802259974,,1.0,3,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
7466,141,1.0,36.067061918047,21.460674382698592,6.0,10,9.0,1971,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
12774,157,2.0,62.747509162160966,28.19681269651848,8.0,5,10.0,1956,0.0,B,B,30,7538,87,4702.0,5,5,B
5130,45,3.0,77.1190066011457,77.30079687171626,1.0,12,12.0,2018,0.195781053,B,B,23,5212,6,,3,2,B
2622,24,2.0,65.07898897519843,27.62686148396968,7.0,5,5.0,1959,0.111627393,B,B,50,12238,8,1970.0,2,3,B
3754,1,2.0,57.09263849172683,31.73240784351972,9.0,17,17.0,2012,0.007122317,B,B,1,264,0,,0,1,B
6682,100,3.0,81.98056014762624,55.63723318167278,8.0,2,8.0,1956,0.200146802,B,B,23,3975,8,770.0,2,0,B
6622,96,1.0,39.23048484445746,16.58020385086264,9.0,4,14.0,2001,0.041116354,B,B,53,14892,4,,1,4,B
11873,67,2.0,52.46662680308231,33.95501053812815,8.0,5,14.0,1987,0.0077202819999999,B,B,38,4788,2,,0,4,B
10499,41,2.0,55.658606312193605,32.09270226061889,10.0,15,16.0,1994,0.175054867,B,B,36,10055,3,,1,0,B
3693,45,2.0,62.45284743296249,58.09157426303744,1.0,14,1.0,2015,0.195781053,B,B,23,5212,6,,3,2,B
5391,88,1.0,42.93642997098178,22.28967321060369,8.0,13,12.0,1980,0.127375905,B,B,43,8429,3,,3,9,B
2968,6,1.0,48.75773310529986,,1.0,16,1.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
1216,85,2.0,58.12161915269322,34.34500890506353,9.0,8,16.0,1979,0.037177818,B,B,52,11217,1,2300.0,1,7,B
253,90,2.0,42.50704505940124,24.06159403696969,6.0,13,12.0,1969,0.265088676,B,B,37,5288,0,1937.0,3,2,B
491,117,3.0,65.43747065373229,40.22557612719508,8.0,8,12.0,1982,0.0,B,B,33,7425,1,,2,5,B
16618,9,2.0,54.23905336363264,27.891318281390795,11.0,2,16.0,1977,0.13012277,B,B,8,1986,0,,0,0,B
12391,8,1.0,32.726125177153826,21.689916969652057,6.0,9,9.0,1979,0.458174486,B,A,26,4439,1,1130.0,1,5,B
15004,161,1.0,51.273913448512936,30.425404969599967,5.0,9,9.0,2015,0.014423114,B,B,19,3806,4,,0,3,B
11287,17,3.0,66.08674549692121,43.42943621420861,7.0,7,13.0,1979,0.0,B,B,18,3374,5,620.0,1,2,B
7437,27,2.0,63.778987539780246,,0.0,4,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
6629,3,1.0,25.761151334750853,15.614058350655586,5.0,4,9.0,1976,0.050900058,B,B,43,10621,1,30.0,2,3,B
6751,172,2.0,56.172364228122646,28.38421312184621,7.0,8,6.0,1914,0.0,B,B,7,1660,39,1786.0,1,5,B
9554,62,1.0,53.58001145121727,,9.0,14,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
16679,27,2.0,69.94328579390161,,0.0,6,0.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
2574,159,2.0,43.43936712108261,29.3288878969512,6.0,5,8.0,1935,0.246623602,B,B,14,2940,45,,3,6,B
6646,1,1.0,41.35966517209052,,1.0,11,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
5338,2,1.0,30.308337787446536,20.69060866408246,5.0,5,9.0,1974,0.130617806,B,B,39,10418,9,900.0,1,9,B
13727,27,3.0,47.82132103363831,47.01508270484098,1.0,10,25.0,1977,0.072157581,B,B,2,629,1,,0,0,A
7509,22,2.0,52.4456643727312,,1.0,2,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
15669,8,1.0,43.33532329083448,18.962068374889128,8.0,2,14.0,2010,0.458174486,B,A,26,4439,1,1130.0,1,5,B
6695,9,1.0,38.49655230548651,19.7126156761122,10.0,12,12.0,1968,0.31019913,B,B,11,2748,1,,0,0,B
15944,94,1.0,36.990846406422136,19.131393451355013,9.0,9,16.0,1978,0.521867054,B,B,25,6149,0,,0,0,B
5592,130,2.0,49.27917096558171,30.76609939169969,5.0,2,5.0,1965,0.049637257,B,B,34,7759,0,229.0,1,3,B
11047,23,2.0,58.911137112415545,,1.0,5,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
11700,11,1.0,31.89566263430136,20.929549737671326,5.0,2,5.0,1961,0.038692987,B,B,28,6533,1,1015.0,2,5,B
1635,1,2.0,65.75008412238715,64.81291333375218,9.0,12,17.0,2014,0.007122317,B,B,1,264,0,,0,1,B
1836,144,2.0,49.0307877478954,31.91889562577639,8.0,2,5.0,1964,0.306977489,B,B,27,5148,14,1575.0,5,7,B
12211,63,2.0,53.35060109233924,32.5794803359683,8.0,11,12.0,1980,0.23861713,B,B,26,3889,6,705.0,3,6,B
7035,9,1.0,43.591764157150735,,1.0,6,18.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
15348,149,3.0,74.57176288566879,46.82636325562528,10.0,6,10.0,2002,0.041116354,B,B,53,14892,4,,1,4,B
